numcode,country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996,,,numcode,Country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996
192,Cuba,87,235,261,296,297,360,430,,FALSE,196,Cyprus,43,43,48,49,50,35,38
196,Cyprus,1,27,57,64,72,136,128,,FALSE,203,Czech Rep.,63,67,67,69,69,41,44
203,Czech Republic,1099,4833,5090,4956,3832,3738,4164,,FALSE,204,Benin,25,25,26,18,10,5,5
204,Benin,6,28,25,40,29,30,47,,FALSE,208,Denmark,76,74,69,72,74,51,50
208,Denmark,730,5696,6440,6674,7292,7726,7817,,FALSE,214,Dominican Rep.,0,2,1,3,4,3,4
212,Dominica,0,0,0,2,3,1,1,,FALSE,218,Ecuador,69,71,70,72,72,29,29
214,Dominican Republic,5,25,16,24,23,15,29,,FALSE,222,El Salvador,2,4,4,6,6,2,5
218,Ecuador,8,67,44,47,80,92,84,,,231,Ethiopia,15,17,16,17,18,13,13
222,El Salvador,2,3,6,11,6,6,11,,,232,Eritrea,3,3,3,4,4,5,5
226,Equatorial Guinea,0,2,0,5,2,2,1,,,233,Estonia,10,12,17,19,20,8,10
231,Ethiopia,23,194,167,201,189,201,219,,,242,Fiji,2,1,5,6,5,2,2
232,Eritrea,0,0,0,0,2,3,6,,,246,Finland,83,83,84,84,84,62,65
233,Estonia,7,16,47,313,410,416,525,,,250,France,107,86,110,114,114,123,124
238,Falkland Islands (Malvinas),0,0,0,0,0,0,0,,,262,Djibouti,6,9,9,9,9,5,9
242,Fiji,4,34,33,47,37,33,32,,,266,Gabon,22,22,23,23,23,12,11
246,Finland,675,4819,5223,5688,6259,6687,7156,,,268,Georgia,6,7,7,11,10,12,18
250,France,5669,38878,41593,44154,46660,50975,52942,,,270,Gambia,9,12,12,13,12,8,8
254,French Guiana,1,17,21,27,20,26,25,,,276,Germany,163,167,167,165,155,132,133
258,French Polynesia,6,31,33,53,44,47,43,,,288,Ghana,16,15,15,17,21,23,25
262,Djibouti,2,2,4,5,4,3,1,,,300,Greece,45,47,51,59,66,59,60
266,Gabon,7,47,45,33,47,54,38,,,308,Grenada,0,0,1,0,0,0,0
268,Georgia,7,35,73,232,211,211,241,,,320,Guatemala,6,6,6,9,9,6,8
270,Gambia,23,170,195,200,61,60,67,,,324,Guinea,17,17,16,17,17,12,13
276,Germany,8303,52698,53444,56329,59361,64962,69373,,,328,Guyana,0,1,1,1,2,1,1
288,Ghana,21,96,130,109,136,134,150,,,332,Haiti,2,0,0,0,0,0,1
292,Gibraltar,0,0,1,1,0,0,0,,,340,Honduras,4,5,6,5,5,2,5
296,Kiribati,1,0,0,0,0,0,0,,,348,Hungary,68,69,68,68,62,47,58
300,Greece,275,2683,2804,3177,3473,3812,4249,,,352,Iceland,22,25,19,20,24,25,14
304,Greenland,3,4,1,5,6,3,7,,,356,India,16,17,21,25,29,21,21
308,Grenada,0,0,1,1,1,1,3,,,360,Indonesia,12,14,16,21,23,27,26
320,Guatemala,13,81,71,78,57,66,69,,,364,Iran (Islamic Rep. of),8,7,7,7,6,5,5
324,Guinea,3,6,9,6,5,7,8,,,368,Iraq,7,9,8,11,9,19,17
328,Guyana,2,15,12,12,4,16,11,,,372,Ireland,109,109,109,102,101,89,87
332,Haiti,1,18,9,14,10,8,6,,,376,Israel,13,12,19,22,28,9,27
336,Holy See (Vatican City State),1,4,8,9,4,6,7,,,380,Italy,97,96,100,105,115,92,99
340,Honduras,6,17,10,16,24,16,18,,,384,C̫te d'Ivoire,26,27,28,28,29,22,22
348,Hungary,865,3173,3315,3316,3360,3585,3773,,,388,Jamaica,5,3,2,2,3,1,1
352,Iceland,29,195,205,233,253,294,288,,,392,Japan,18,18,18,18,19,38,42
356,India,2702,15883,15840,16035,16598,16531,17131,,,398,Kazakhstan,9,9,6,6,8,8,6
360,Indonesia,32,213,187,252,301,330,362,,,400,Jordan,17,19,21,23,25,21,26
364,"Iran, Islamic Republic of",55,234,255,335,390,488,612,,,404,Kenya,24,27,28,28,25,21,23
368,Iraq,24,151,131,123,126,93,73,,,408,"Korea, Democratic People's Republic of",0,0,0,0,0,0,1
372,Ireland,495,3454,3485,3796,4140,4597,4926,,,410,"Korea, Republic of",24,28,29,30,33,43,47
376,Israel,1012,7903,8265,9179,9450,10114,10433,,,414,Kuwait,4,6,7,10,12,17,16
380,Italy,3214,21589,23674,26102,27770,30740,32928,,,417,Kyrgyzstan,6,7,6,5,4,5,5
384,Cote D'Ivoire,17,94,100,97,125,109,93,,,422,Lebanon,28,28,26,33,20,32,33
388,Jamaica,29,173,153,175,221,186,181,,,426,Lesotho,0,0,8,8,6,3,2
392,Japan,5761,52146,55600,59176,63361,67201,72202,,,428,Latvia,14,17,22,23,24,17,16
398,Kazakhstan,8,44,166,275,243,240,221,,,430,Liberia,18,17,18,18,22,10,9
400,Jordan,33,243,228,212,267,314,306,,,434,Libya,18,15,17,14,15,11,11
404,Kenya,88,508,577,593,555,586,587,,,438,Liechtenstein,6,7,8,8,8,8,10
408,"Korea, Democratic People's Republic of",1,2,5,1,0,0,1,,,440,Lithuania,26,26,26,27,28,15,18
410,"Korea, Republic of",384,2269,2625,3500,4443,6600,8126,,,442,Luxembourg,1,1,1,1,55,40,43
414,Kuwait,60,308,194,207,332,418,482,,,454,Malawi,8,7,8,7,6,6,7
417,Kyrgyzstan,3,6,14,43,36,25,28,,,458,Malaysia,36,37,39,43,41,30,32
418,Lao People's Democratic Republic,0,3,7,1,1,5,3,,,466,Mali,24,25,20,11,10,11,12
422,Lebanon,9,94,93,111,138,151,160,,,470,Malta,28,29,34,34,34,25,32
426,Lesotho,3,15,9,21,15,9,7,,,478,Mauritania,20,21,17,16,17,16,19
428,Latvia,11,66,129,288,284,318,302,,,484,Mexico,59,63,66,49,52,35,34
430,Liberia,2,19,10,3,4,1,4,,,492,Monaco,0,0,1,1,1,1,1
434,Libyan Arab Jamahiriya,11,67,52,53,51,54,41,,,496,Mongolia,1,1,1,1,2,2,1
438,Liechtenstein,9,10,18,17,15,28,15,,,498,"Moldova, Republic of",28,25,28,28,28,12,14
440,Lithuania,12,17,60,234,309,354,361,,,504,Morocco,27,26,24,25,27,27,25
442,Luxembourg,8,41,45,76,67,75,85,,,508,Mozambique,14,13,13,14,13,13,13
450,Madagascar,8,40,26,40,54,44,47,,,512,Oman,2,2,2,2,2,2,2
454,Malawi,7,59,38,78,98,97,108,,,516,Namibia,14,13,13,12,14,9,11
458,Malaysia,67,421,409,494,595,698,679,,,520,Nauru,0,0,0,0,0,14,9
462,Maldives,0,1,1,0,0,1,4,,,524,Nepal,12,10,11,11,12,9,9
466,Mali,1,28,28,25,43,40,40,,,528,Netherlands,117,120,118,121,122,92,92
470,Malta,0,21,23,30,42,54,44,,,548,Vanuatu,2,2,0,2,2,0,0
474,Martinique,3,7,3,8,14,29,32,,,554,New Zealand,80,79,80,72,73,33,35
478,Mauritania,0,2,6,7,6,6,7,,,558,Nicaragua,9,9,9,9,9,5,5
480,Mauritius,5,11,12,14,21,16,21,,,562,Niger,12,12,13,14,17,12,14
484,Mexico,326,2116,2278,2668,2870,3500,4027,,,566,Nigeria,25,26,26,28,20,16,18
492,Monaco,7,25,29,28,34,31,52,,,578,Norway,108,110,111,106,108,79,75
496,Mongolia,4,58,49,40,50,47,57,,,583,Micronesia (Federated States of),1,0,0,0,0,0,2
498,"Moldova, Republic of",8,32,72,219,192,227,199,,,585,Palau,1,0,1,1,1,0,0
504,Morocco,44,371,413,409,447,599,660,,,586,Pakistan,16,16,16,16,16,12,14
508,Mozambique,2,20,19,24,22,34,22,,,591,Panama,27,31,33,37,37,19,21
512,Oman,3,59,74,79,110,106,124,,,598,Papua New Guinea,7,5,5,8,7,13,11
516,Namibia,6,26,35,27,44,33,38,,,600,Paraguay,9,9,10,10,10,7,7
520,Nauru,0,0,0,0,0,0,0,,,604,Peru,31,34,34,41,47,18,20
524,Nepal,12,56,65,68,66,84,81,,,608,Philippines,16,17,19,18,21,16,19
528,Netherlands,1928,15531,16896,18552,19492,20944,21820,,,616,Poland,57,59,65,63,64,36,36
548,Vanuatu,1,6,14,5,8,6,6,,,620,Portugal,43,47,50,50,53,33,34
554,New Zealand,563,3465,3693,3782,4124,4419,4604,,,624,Guinea-Bissau,12,13,10,10,10,11,11
558,Nicaragua,3,19,15,21,20,16,24,,,634,Qatar,2,3,3,3,3,4,5
562,Niger,6,40,48,58,52,45,39,,,642,Romania,48,47,45,45,47,27,28
566,Nigeria,222,1149,1053,977,830,835,855,,,643,Russian Federation,40,45,44,44,34,25,30
570,Niue,0,0,0,0,0,0,0,,,646,Rwanda,9,9,9,8,8,7,5
578,Norway,465,3697,4088,4284,4595,5154,5204,,,659,Saint Kitts and Nevis,0,0,0,0,0,0,0
583,"Micronesia, Federated States of",0,0,2,3,5,6,3,,,662,Saint Lucia,0,0,1,1,2,0,0
585,Palau,0,0,2,2,1,1,1,,,670,Saint Vincent and the Grenadines,0,0,0,0,0,0,0
586,Pakistan,91,507,484,545,560,618,599,,,682,Saudi Arabia,13,14,14,14,14,13,9
591,Panama,17,72,64,89,75,73,91,,,686,Senegal,20,17,18,18,18,24,25
598,Papua New Guinea,28,109,125,137,104,113,76,,,694,Sierra Leone,6,6,7,4,4,3,3
600,Paraguay,2,12,17,10,10,18,28,,,702,Singapore,2,2,2,2,2,0,0
604,Peru,33,172,151,182,138,197,205,,,703,Slovakia,36,35,34,34,35,17,21
608,Philippines,36,269,286,278,285,324,334,,,704,Viet Nam,1,1,1,0,0,1,1
616,Poland,1220,6183,6183,6441,6904,8234,8356,,,705,Slovenia,20,22,19,20,26,13,13
620,Portugal,338,1069,1281,1418,1671,1972,2155,,,706,Somalia,10,8,8,9,9,9,9
624,Guinea-Bissau,1,9,7,10,11,8,12,,,710,South Africa,32,39,39,44,46,62,68
634,Qatar,2,62,64,65,83,52,55,,,716,Zimbabwe,14,14,13,13,16,13,16
642,Romania,200,722,854,1035,1258,1332,1634,,,724,Spain,75,75,82,82,82,70,79
643,Russian Federation,13983,40406,32865,25876,26578,28296,28805,,,736,Sudan,7,10,18,21,23,14,19
646,Rwanda,0,20,38,35,32,31,19,,,740,Suriname,1,1,0,0,0,0,0
659,Saint Kitts and Nevis,0,0,0,0,0,0,1,,,748,Swaziland,13,13,13,17,17,8,9
662,Saint Lucia,0,7,2,8,3,2,4,,,752,Sweden,127,125,128,128,127,110,112
670,Saint Vincent and the Grenadines,0,0,0,0,0,1,2,,,756,Switzerland,116,119,118,117,116,93,90
674,San Marino,0,1,2,0,1,0,1,,,760,Syrian Arab Rep.,22,31,34,36,34,34,34
678,Sao Tome and Principe,0,0,0,0,0,0,1,,,762,Tajikistan,3,3,5,4,5,4,4
682,Saudi Arabia,156,1301,1336,1459,1463,1645,1717,,,764,Thailand,26,24,25,27,29,31,32
686,Senegal,0,4,5,18,181,165,165,,,768,Togo,14,15,16,17,13,11,13
690,Seychelles,0,4,5,4,5,21,11,,,776,Tonga,0,0,2,2,2,0,0
694,Sierra Leone,5,23,27,19,20,13,26,,,780,Trinidad and Tobago,13,12,9,9,13,6,7
702,Singapore,114,992,1252,1544,1777,2197,2205,,,788,Tunisia,14,14,31,25,24,13,12
703,Slovakia,9,61,41,421,2011,2165,2218,,,792,Turkey,32,34,39,44,45,55,56
704,Viet Nam,25,134,164,148,151,224,236,,,795,Turkmenistan,4,4,4,4,4,4,4
705,Slovenia,3,20,75,740,839,887,1006,,,800,Uganda,19,20,20,22,21,16,16
706,Somalia,5,18,14,9,11,5,2,,,804,Ukraine,49,51,50,56,57,54,55
710,South Africa,662,4187,4226,4296,4340,4648,4470,,,807,Madagascar,0,0,5,5,4,1,1
716,Zimbabwe,39,228,270,241,243,231,254,,,807,"Macedonia, the Former Yugoslav Republic of",3,3,3,3,4,21,5
724,Spain,1843,12404,14581,16048,16877,19136,21000,,,818,Egypt,38,38,37,43,45,38,45
732,Western Sahara,0,0,0,0,0,0,0,,,826,United Kingdom,126,130,142,149,148,120,121
736,Sudan,19,120,138,113,109,89,83,,,834,"Tanzania, United Republic of",4,4,4,4,4,4,4
740,Suriname,0,2,10,4,3,2,4,,,840,United States of America,176,180,182,185,186,172,173
748,Swaziland,2,16,10,11,8,15,13,,,854,Burkina Faso,15,15,15,15,16,11,11
752,Sweden,1347,11821,12259,13213,14027,15194,15839,,,858,Uruguay,23,23,23,24,25,11,10
756,Switzerland,1310,10253,11277,12136,13082,13550,14088,,,860,Uzbekistan,4,3,2,2,2,2,2
760,Syrian Arab Republic,9,64,87,88,86,96,105,,,862,Venezuela (Bolivarian Republic of),23,26,27,27,27,15,15
762,Tajikistan,3,6,42,104,68,57,40,,,887,Yemen,14,17,16,20,19,15,18
764,Thailand,91,553,574,626,728,759,831,,,894,Zambia,16,21,19,19,22,16,14
768,Togo,4,32,13,24,22,20,18,,,,,,,,,,,
776,Tonga,0,3,2,2,6,3,0,,,,,,,,,,,
780,Trinidad and Tobago,15,89,119,113,122,100,89,,,,,,,,,,,
784,#N/A,5,116,146,203,216,266,298,,,,,,,,,,,
788,Tunisia,37,322,293,288,339,347,357,,,,,,,,,,,
792,Turkey,155,1395,1711,1968,2344,3090,3928,,,,,,,,,,,
795,Turkmenistan,0,5,11,28,17,16,16,,,,,,,,,,,
798,Tuvalu,0,2,0,1,0,0,0,,,,,,,,,,,
800,Uganda,12,55,62,80,91,101,116,,,,,,,,,,,
804,Ukraine,96,402,1747,3856,3985,4188,4240,,,,,,,,,,,
807,"Macedonia, the Former Yugoslav Republic of",0,2,8,62,60,82,94,,,,,,,,,,,
818,Egypt,301,2088,1911,1954,2163,2261,2255,,,,,,,,,,,
826,United Kingdom,9527,74037,78900,82912,87558,96633,98958,,,,,,,,,,,
834,"Tanzania, United Republic of",25,162,185,187,215,227,233,,,,,,,,,,,
840,United States,36584,325421,331452,353697,363880,378758,380841,,,,,,,,,,,
854,Burkina Faso,3,46,39,54,43,41,58,,,,,,,,,,,
858,Uruguay,17,112,136,160,156,204,244,,,,,,,,,,,
860,Uzbekistan,28,97,169,445,333,423,353,,,,,,,,,,,
862,Venezuela,103,587,642,789,739,762,950,,,,,,,,,,,
876,Wallis and Futuna,0,0,0,0,0,0,0,,,,,,,,,,,
882,Samoa,0,2,10,7,9,6,0,,,,,,,,,,,
887,Yemen,9,28,23,22,14,26,30,,,,,,,,,,,
894,Zambia,8,86,84,80,77,100,66,,,,,,,,,,,
